item_id,dept_id,cat_id,state_id,series_id,launch_index,ADI,zero_proportion,CV,CV2,CV Group,figure4_nearest_distance,target_zero_proportion,target_CV2
FOODS_3_080,FOODS_3,FOODS,TX,FOODS_3_080__TX,0,1.0020650490449148,0.002060793405461059,0.3067809102605819,0.0941145269003112,0.3 < CV ≤ 0.4,0.0708994897382988,,
FOODS_3_499,FOODS_3,FOODS,CA,FOODS_3_499__CA,853,1.0046168051708217,0.004595588235294157,0.3895953159246,0.15178451019038888,0.3 < CV ≤ 0.4,0.026731223557676043,,
HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,CA,HOUSEHOLD_1_110__CA,754,1.0541740674955595,0.05139005897219884,0.38737941777985646,0.15006281331946056,0.3 < CV ≤ 0.4,0.042448377181226196,,
FOODS_3_288,FOODS_3,FOODS,CA,FOODS_3_288__CA,741,1.0480349344978166,0.04583333333333328,0.3980095915898048,0.15841163499748323,0.3 < CV ≤ 0.4,0.041361792694381644,,
FOODS_3_252,FOODS_3,FOODS,CA,FOODS_3_252__CA,0,1.0020650490449148,0.002060793405461059,0.3658300650530079,0.133831636496688,0.3 < CV ≤ 0.4,0.03931825838428471,,
HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,TX,HOUSEHOLD_1_110__TX,568,1.0802517702596381,0.07428987618353966,0.3545888609650491,0.12573326032049092,0.3 < CV ≤ 0.4,0.04457871904426184,,
FOODS_3_228,FOODS_3,FOODS,CA,FOODS_3_228__CA,0,1.0020650490449148,0.002060793405461059,0.3220580748523763,0.10372140357761882,0.3 < CV ≤ 0.4,0.03889472998925351,,
HOUSEHOLD_1_429,HOUSEHOLD_1,HOUSEHOLD,CA,HOUSEHOLD_1_429__CA,1138,1.0374677002583979,0.03611457036114574,0.33018064834824445,0.10901926054366706,0.3 < CV ≤ 0.4,0.007831515206854125,,
FOODS_3_555,FOODS_3,FOODS,TX,FOODS_3_555__TX,0,1.001547987616099,0.0015455950540957941,0.36989323900631405,0.13682100826258217,0.3 < CV ≤ 0.4,0.03212063885226516,,
FOODS_3_252,FOODS_3,FOODS,TX,FOODS_3_252__TX,0,1.001547987616099,0.0015455950540957941,0.36570884910830165,0.13374296231611854,0.3 < CV ≤ 0.4,0.04125177486000116,,
FOODS_3_739,FOODS_3,FOODS,CA,FOODS_3_739__CA,740,1.060017652250662,0.05661948376353043,0.3871378800355473,0.1498757381584178,0.3 < CV ≤ 0.4,0.06655311322005235,,
FOODS_3_477,FOODS_3,FOODS,TX,FOODS_3_477__TX,0,1.0041386445938956,0.004121586810922229,0.3669594235248222,0.13465921851366983,0.3 < CV ≤ 0.4,0.03057847415306658,,
FOODS_3_458,FOODS_3,FOODS,CA,FOODS_3_458__CA,0,1.0020650490449148,0.002060793405461059,0.3067832337834139,0.09411595253060877,0.3 < CV ≤ 0.4,0.07089194567500806,,
HOUSEHOLD_1_429,HOUSEHOLD_1,HOUSEHOLD,TX,HOUSEHOLD_1_429__TX,1138,1.0126103404791928,0.012453300124533051,0.3445356818006352,0.11870483603382856,0.3 < CV ≤ 0.4,0.004814094341746049,,
FOODS_3_226,FOODS_3,FOODS,TX,FOODS_3_226__TX,0,1.001547987616099,0.0015455950540957941,0.3650806558466835,0.13328388527344454,0.3 < CV ≤ 0.4,0.04294503391313992,,
HOUSEHOLD_1_351,HOUSEHOLD_1,HOUSEHOLD,CA,HOUSEHOLD_1_351__CA,488,1.0175070028011204,0.01720578114246385,0.49528237528282015,0.2453046312657923,0.4 < CV ≤ 0.6,0.0006162118774682612,,
FOODS_2_326,FOODS_2,FOODS,TX,FOODS_2_326__TX,0,1.0067427385892116,0.006697578567748552,0.4467069828073175,0.19954712848881706,0.4 < CV ≤ 0.6,0.0008762678582396041,,
FOODS_3_652,FOODS_3,FOODS,WI,FOODS_3_652__WI,107,1.0390934844192634,0.03762268266085056,0.5065721084767092,0.25661530108653885,0.4 < CV ≤ 0.6,0.0011625626448857251,,
FOODS_3_469,FOODS_3,FOODS,CA,FOODS_3_469__CA,0,1.030801911842804,0.02988150437918602,0.41909165747538873,0.17563781736546855,0.4 < CV ≤ 0.6,0.003171219986697873,,
FOODS_3_282,FOODS_3,FOODS,CA,FOODS_3_282__CA,912,1.0208333333333333,0.020408163265306145,0.4152111437222216,0.17240029387111538,0.4 < CV ≤ 0.6,0.0021021006430627168,,
HOUSEHOLD_1_517,HOUSEHOLD_1,HOUSEHOLD,TX,HOUSEHOLD_1_517__TX,727,1.0201680672268907,0.01976935749588138,0.44258047600380107,0.19587747773975114,0.4 < CV ≤ 0.6,0.00023236887516706365,,
FOODS_3_804,FOODS_3,FOODS,CA,FOODS_3_804__CA,0,1.0109375,0.010819165378670781,0.5001350177661192,0.2501350359959164,0.4 < CV ≤ 0.6,0.0005277468794235684,,
FOODS_3_503,FOODS_3,FOODS,CA,FOODS_3_503__CA,26,1.0110876451953537,0.01096605744125323,0.4999216923789098,0.24992169851099333,0.4 < CV ≤ 0.6,0.00045969652590461673,,
FOODS_2_016,FOODS_2,FOODS,WI,FOODS_2_016__WI,191,1.0198135198135199,0.01942857142857146,0.5255934092426687,0.27624843183933145,0.4 < CV ≤ 0.6,0.0037728570045820736,,
HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,CA,HOUSEHOLD_1_459__CA,487,1.0174947515745276,0.01719394773039895,0.46561343345328704,0.21679586941215856,0.4 < CV ≤ 0.6,0.0044706280502349455,,
HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,WI,HOUSEHOLD_1_459__WI,488,1.0203651685393258,0.019958706125258074,0.5198776389427262,0.2702727594726636,0.4 < CV ≤ 0.6,0.004769889510695697,,
FOODS_3_252,FOODS_3,FOODS,WI,FOODS_3_252__WI,0,1.0025826446280992,0.0025759917568263235,0.46700189840098405,0.21809077311012304,0.4 < CV ≤ 0.6,0.0052124619158304564,,
FOODS_3_372,FOODS_3,FOODS,WI,FOODS_3_372__WI,1196,1.0053981106612686,0.005369127516778538,0.4946266988509631,0.24465557121620135,0.4 < CV ≤ 0.6,0.0015176820241859991,,
HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,TX,HOUSEHOLD_1_334__TX,488,1.0118384401114207,0.0116999311768754,0.5109783157966107,0.2610988392143408,0.4 < CV ≤ 0.6,0.0011382246024465473,,
HOUSEHOLD_1_118,HOUSEHOLD_1,HOUSEHOLD,CA,HOUSEHOLD_1_118__CA,0,1.0046583850931676,0.004636785162287493,0.44123743838989143,0.19469047703687323,0.4 < CV ≤ 0.6,0.0034506544039677595,,
HOUSEHOLD_1_306,HOUSEHOLD_1,HOUSEHOLD,WI,HOUSEHOLD_1_306__WI,1133,1.0163522012578616,0.016089108910891103,0.5846958775192472,0.34186926918800253,0.4 < CV ≤ 0.6,0.00034776285547083354,,
HOUSEHOLD_1_319,HOUSEHOLD_1,HOUSEHOLD,CA,HOUSEHOLD_1_319__CA,0,1.0062208398133747,0.0061823802163832875,0.4487239887765136,0.2013532181035047,0.4 < CV ≤ 0.6,0.0011353319587439727,,
FOODS_3_389,FOODS_3,FOODS,WI,FOODS_3_389__WI,0,1.0025826446280992,0.0025759917568263235,0.44742394855346224,0.2001881897391712,0.4 < CV ≤ 0.6,0.004885854261770497,,
HOUSEHOLD_1_465,HOUSEHOLD_1,HOUSEHOLD,CA,HOUSEHOLD_1_465__CA,489,1.017519271198318,0.017217630853994526,0.4384433727121083,0.1922325910751687,0.4 < CV ≤ 0.6,0.0007277555253279615,,
